Company name,Rating,Reviews,Company type,Office,Highly Rated For,Critically Rated For
Hogarth Worldwide,3.7,121,Marketing & Advertising,Chennai +4 other locations,Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Nirvasa Healthcare,3.8,121,Healthcare,Gurgaon / Gurugram +4 other locations,None,None
Target Publications,4.0,121,Printing & Publishing,Mumbai +9 other locations,"Salary & Benefits, Skill Development / Learning, Company Culture",None
Syniverse Technologies,3.5,121,IT Services & Consulting,Bangalore / Bengaluru +4 other locations,None,"Promotions / Appraisal, Job Security, Salary & Benefits"
Shipco It,3.8,121,IT Services & Consulting,Pune +3 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
Armstrong Machine Builders,3.1,121,Industrial Machinery,Nashik +8 other locations,None,"Job Security, Promotions / Appraisal, Work Life Balance"
Kalinga Commercial Corporation,3.7,121,Metals & Mining,Bhubaneswar +16 other locations,Job Security,Promotions / Appraisal
Honasa Consumer,3.8,121,Beauty & Personal Care,Gurgaon / Gurugram +27 other locations,"Salary & Benefits, Skill Development / Learning","Job Security, Promotions / Appraisal"
Atlassian,3.6,121,Software Product,Bangalore / Bengaluru +5 other locations,"Salary & Benefits, Work Life Balance","Job Security, Promotions / Appraisal, Skill Development / Learning"
Emrill Services LLC,4.1,121,Facility Management Services,Dubai +7 other locations,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
Inorbit Mall,4.4,121,Retail,Mumbai +8 other locations,"Work Life Balance, Job Security, Company Culture",None
Digital Nirvana Information Systems,3.8,121,Software Product,Hyderabad / Secunderabad +3 other locations,None,"Promotions / Appraisal, Salary & Benefits"
Biorad Medisys,4.0,121,Healthcare,Pune +10 other locations,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
Royal Cyber,3.5,122,IT Services & Consulting,Bangalore / Bengaluru +7 other locations,Work Life Balance,"Job Security, Promotions / Appraisal, Skill Development / Learning"
Gnrc Hospital,3.6,121,Healthcare,Guwahati +7 other locations,None,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Market Research Future Reports,3.8,121,Analytics & KPO,Pune +2 other locations,Company Culture,None
Artech,2.9,121,Architecture & Interior Design,Bangalore / Bengaluru +12 other locations,None,"Promotions / Appraisal, Job Security, Company Culture"
Deccan iServices,3.6,121,N/A,Chennai +7 other locations,None,"Promotions / Appraisal, Salary & Benefits"
MaRS Planning & Engineering Services,3.9,121,Engineering & Construction,Ahmedabad +42 other locations,None,"Promotions / Appraisal, Salary & Benefits"
Valdel Engineers & Constructors,3.1,121,Oil & Gas,Bangalore / Bengaluru +8 other locations,None,"Salary & Benefits, Promotions / Appraisal, Job Security"
Accountant Anywhere Services,4.1,121,BPO,Pune +43 other locations,"Skill Development / Learning, Work Satisfaction, Company Culture",None
SDP & Associates (Office),3.8,121,Accounting & Auditing,Kolkata +8 other locations,"Skill Development / Learning, Company Culture",Promotions / Appraisal
Ogilvy,3.9,121,Marketing & Advertising,Mumbai +11 other locations,"Job Security, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
Crif Solutions,3.4,121,FinTech,Pune +1 other locations,None,"Promotions / Appraisal, Work Life Balance, Company Culture"
Antraweb Technologies,3.8,120,IT Services & Consulting,Mumbai +4 other locations,"Skill Development / Learning, Company Culture, Work Life Balance",None
Hilton Garden Inn,4.1,120,Hospitality,New Delhi +14 other locations,"Job Security, Skill Development / Learning, Company Culture",None
Birla Century,4.2,120,Fashion & Textile,Bharuch +9 other locations,"Company Culture, Salary & Benefits, Work Satisfaction",None
Smarter BIZ Technologies,3.1,120,IT Services & Consulting,Bangalore / Bengaluru +13 other locations,None,"Job Security, Promotions / Appraisal, Salary & Benefits"
Log 9 Materials Scientific,3.6,120,N/A,Bangalore / Bengaluru +8 other locations,None,"Job Security, Promotions / Appraisal, Work Satisfaction"
A&A Business Consulting,4.0,120,Management Consulting,Mumbai +11 other locations,"Skill Development / Learning, Work Life Balance, Company Culture",None
Fairfield Inn by Marriott,4.2,120,N/A,Kolkata +22 other locations,"Company Culture, Job Security, Skill Development / Learning",None
Ebix Smartclass Educational Services,4.2,120,EdTech,New Delhi +32 other locations,"Work Life Balance, Work Satisfaction, Company Culture",None
Apollo Spectra Hospitals,4.4,120,Healthcare,New Delhi +18 other locations,"Job Security, Work Life Balance, Salary & Benefits",None
Baggit,3.2,120,Fashion & Textile,Mumbai +23 other locations,None,"Promotions / Appraisal, Job Security, Company Culture"
Speciality Restaurants,4.1,120,Hospitality,Mumbai +13 other locations,"Job Security, Work Life Balance, Skill Development / Learning",None
ATS ELGI,4.1,120,Industrial Machinery,Coimbatore +17 other locations,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
Gemini Consulting & Services,4.0,120,IT Services & Consulting,Hyderabad / Secunderabad +8 other locations,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
Evertogen Life Sciences,3.2,120,Pharma,Hyderabad / Secunderabad +5 other locations,None,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
FreshMenu,3.1,120,Internet,Bangalore / Bengaluru +7 other locations,None,"Promotions / Appraisal, Job Security, Company Culture"
Airtel Business,3.9,120,Telecom,Bangalore / Bengaluru +38 other locations,"Job Security, Salary & Benefits",Promotions / Appraisal
India1 Payments,3.9,120,Financial Services,Bangalore / Bengaluru +20 other locations,Salary & Benefits,"Promotions / Appraisal, Skill Development / Learning"
Rapid Care Transcription,4.3,120,Broadcasting,Chennai +3 other locations,"Work Life Balance, Job Security, Company Culture",None
Alniche Life Sciences,3.8,120,Pharma,New Delhi +23 other locations,None,None
D A V School,4.0,120,Education & Training,New Delhi +56 other locations,"Skill Development / Learning, Company Culture",Promotions / Appraisal
D A V School,4.0,120,Education & Training,New Delhi +56 other locations,"Skill Development / Learning, Company Culture",Promotions / Appraisal
Ebix Smartclass Educational Services,4.2,120,EdTech,New Delhi +32 other locations,"Work Life Balance, Work Satisfaction, Company Culture",None
ParamInfo,3.9,120,IT Services & Consulting,Hyderabad / Secunderabad +3 other locations,"Salary & Benefits, Job Security, Company Culture",None
Naari Pharma,3.3,120,Pharma,Rudrapur +9 other locations,None,"Promotions / Appraisal, Job Security, Skill Development / Learning"
Bikaji Foods,4.1,121,FMCG,Bikaner +28 other locations,"Work Satisfaction, Skill Development / Learning, Company Culture",None
Dozco,3.5,120,Industrial Machinery,Visakhapatnam +26 other locations,None,"Promotions / Appraisal, Salary & Benefits, Company Culture"
NPCC Engineering,3.7,120,Oil & Gas,Mumbai +11 other locations,None,"Skill Development / Learning, Promotions / Appraisal"
Government of Delhi,4.2,120,Government,New Delhi +1 other locations,Work Life Balance,"Promotions / Appraisal, Job Security"
