Company name,Rating,Reviews,Company type,Office,Highly Rated For,Critically Rated For
ByteDance,4.2,388,Internet,Gurgaon / Gurugram +13 other locations,"Company Culture, Work Life Balance, Salary & Benefits",None
Nivea,4.2,388,Beauty & Personal Care,Mumbai +58 other locations,"Salary & Benefits, Company Culture, Work Life Balance",None
Sandoz,4.0,388,Pharma,Mumbai +19 other locations,"Salary & Benefits, Company Culture, Work Life Balance",Promotions / Appraisal
Lite Bite Foods,4.4,387,Hospitality,New Delhi +21 other locations,"Company Culture, Salary & Benefits, Skill Development / Learning",None
Matrimonialsindia,4.9,387,Internet,New Delhi,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",None
Stellantis,3.4,388,Automobile,Chennai +10 other locations,None,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Datamatics Business Solutions,3.4,387,Management Consulting,Mumbai +10 other locations,None,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
HUDL,3.3,387,Software Product,Pune +11 other locations,None,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits"
Ess Kay Fincorp,4.0,386,NBFC,Jaipur +109 other locations,"Company Culture, Skill Development / Learning, Work Satisfaction",None
TransUnion,4.0,387,FinTech,Chennai +9 other locations,"Company Culture, Work Life Balance, Salary & Benefits",None
Onshore Construction,3.9,386,Engineering & Construction,Mumbai +32 other locations,None,"Promotions / Appraisal, Company Culture, Work Life Balance"
Macquarie Group,3.3,386,Financial Services,Gurgaon / Gurugram +14 other locations,None,"Job Security, Promotions / Appraisal, Work Satisfaction"
Chaitanya India Fin Credit,4.0,387,NBFC,Bangalore / Bengaluru +131 other locations,"Company Culture, Skill Development / Learning, Work Life Balance",None
Regalix,2.9,386,Marketing & Advertising,Hyderabad / Secunderabad +5 other locations,None,"Promotions / Appraisal, Work Satisfaction, Company Culture"
C5i,4.1,388,Analytics & KPO,Mumbai +14 other locations,"Job Security, Company Culture, Work Life Balance",None
Jubilant Agri and Consumer Products,4.0,386,Chemicals,Gurgaon / Gurugram +81 other locations,"Work Life Balance, Salary & Benefits, Company Culture",Promotions / Appraisal
Jiva Ayurvedic Pharmacy,3.7,386,Healthcare,Faridabad +44 other locations,None,"Promotions / Appraisal, Salary & Benefits"
Red Hat,4.3,385,Software Product,Pune +11 other locations,"Work Life Balance, Company Culture, Skill Development / Learning",None
Global Autotech,4.0,385,Auto Components,Greater Noida +14 other locations,"Skill Development / Learning, Job Security, Work Life Balance",Promotions / Appraisal
Orra Fine Jewellery,3.5,385,Retail,Mumbai +45 other locations,None,"Work Satisfaction, Company Culture, Job Security"
Amri Hospital,4.0,385,Healthcare,Kolkata +9 other locations,"Skill Development / Learning, Job Security",Promotions / Appraisal
Le Méridien,4.3,384,Hospitality,New Delhi +23 other locations,"Skill Development / Learning, Job Security, Work Satisfaction",None
Kokilaben Dhirubhai Ambani Hospital,3.8,384,Healthcare,Mumbai +17 other locations,"Skill Development / Learning, Job Security","Promotions / Appraisal, Salary & Benefits"
Metro Group of Hospitals,3.8,384,Healthcare,New Delhi +25 other locations,None,"Salary & Benefits, Promotions / Appraisal"
ITI,3.7,383,Hardware & Networking,Bangalore / Bengaluru +76 other locations,"Work Life Balance, Work Satisfaction, Skill Development / Learning",Salary & Benefits
EC-Council,4.4,383,N/A,Hyderabad / Secunderabad +10 other locations,"Work Life Balance, Job Security, Work Satisfaction",None
Fenesta Building Systems,4.0,383,Building Material,Gurgaon / Gurugram +59 other locations,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal
Leighton Contractors,4.1,383,Engineering & Construction,Mumbai +19 other locations,"Salary & Benefits, Company Culture, Work Life Balance",Job Security
F1 Info Solutions and Services,3.8,383,IT Services & Consulting,Noida +42 other locations,None,"Promotions / Appraisal, Job Security, Salary & Benefits"
HashedIn by Deloitte,4.3,383,IT Services & Consulting,Bangalore / Bengaluru +15 other locations,"Job Security, Company Culture, Skill Development / Learning",None
Swastika Investmart,4.4,383,Investment Banking / Venture Capital / Private Equity,Indore +44 other locations,"Company Culture, Job Security, Skill Development / Learning",None
Disney Star,3.9,382,Broadcasting,Mumbai +37 other locations,"Salary & Benefits, Work Life Balance",Promotions / Appraisal
Black Knight,3.6,382,IT Services & Consulting,Hyderabad / Secunderabad +3 other locations,None,"Promotions / Appraisal, Company Culture, Skill Development / Learning"
Lernx,4.1,382,N/A,Jaipur +11 other locations,"Skill Development / Learning, Company Culture, Work Life Balance",None
Mahendra NextWealth IT,3.8,382,IT Services & Consulting,Salem +15 other locations,Job Security,"Salary & Benefits, Promotions / Appraisal"
Varuna Integrated Logistics,3.7,382,Logistics,Gurgaon / Gurugram +50 other locations,None,Promotions / Appraisal
Ralson Tyres Limited,3.7,382,Auto Components,Ludhiana +44 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Tata International,3.7,381,Import & Export,Mumbai +37 other locations,None,Promotions / Appraisal
Axa XL,3.8,381,Insurance,Gurgaon / Gurugram +6 other locations,"Job Security, Work Life Balance, Company Culture","Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
Subex,3.4,382,Emerging Technologies,Bangalore / Bengaluru +11 other locations,None,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Reliance Capital,3.7,381,Financial Services,Mumbai +81 other locations,None,Promotions / Appraisal
Del Monte Foods,4.0,381,Food Processing,Gurgaon / Gurugram +53 other locations,"Work Life Balance, Job Security",Promotions / Appraisal
Nspira Management Services,3.7,380,Management Consulting,Hyderabad / Secunderabad +39 other locations,None,"Promotions / Appraisal, Work Satisfaction, Company Culture"
Securitas,3.8,381,Law Enforcement & Security,Gurgaon / Gurugram +39 other locations,None,Promotions / Appraisal
Tractebel,4.1,381,Engineering & Construction,Gurgaon / Gurugram +70 other locations,"Work Satisfaction, Salary & Benefits",None
Enterprise Growth Accelerator,3.5,380,N/A,Faridabad +9 other locations,None,"Job Security, Skill Development / Learning, Promotions / Appraisal"
Reliance Infrastructure,4.1,380,Engineering & Construction,Mumbai +59 other locations,"Work Life Balance, Company Culture",None
Lakme,4.1,380,Beauty & Personal Care,Mumbai +71 other locations,"Skill Development / Learning, Work Life Balance, Salary & Benefits",Promotions / Appraisal
PULSUS HealthTech Group,3.8,380,Printing & Publishing,Visakhapatnam +7 other locations,"Work Life Balance, Company Culture, Skill Development / Learning",None
Orcapod Consulting Services,3.4,379,IT Services & Consulting,Hyderabad / Secunderabad +15 other locations,None,"Promotions / Appraisal, Salary & Benefits, Job Security"
Vimta Labs,3.5,379,N/A,Hyderabad / Secunderabad +25 other locations,None,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Aurionpro Solutions,3.5,379,Software Product,Mumbai +36 other locations,None,"Promotions / Appraisal, Skill Development / Learning, Company Culture"
BKT Tyres,3.9,380,Auto Components,Bhuj +25 other locations,"Job Security, Salary & Benefits",None
DFM Foods,4.1,379,FMCG,New Delhi +65 other locations,"Salary & Benefits, Company Culture, Work Life Balance",None
APL Apollo Tubes,3.9,378,Iron & Steel,Raipur +42 other locations,None,None
360 Realtors,3.9,378,Real Estate,Pune +24 other locations,"Skill Development / Learning, Company Culture",None
HCL Healthcare,4.6,378,Healthcare,Noida +29 other locations,"Company Culture, Skill Development / Learning, Work Life Balance",None
Plastic Omnium,3.7,378,Automobile,Pune +18 other locations,None,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits"
Volkswagen Group Technology Solution,3.9,378,Software Product,Pune +6 other locations,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
AVIOM,4.1,378,NBFC,New Delhi +141 other locations,"Work Life Balance, Salary & Benefits, Work Satisfaction",None
Keysight Technologies,4.0,377,Electronics Manufacturing,Gurgaon / Gurugram +10 other locations,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
Exicom,3.9,377,Semiconductors,Gurgaon / Gurugram +22 other locations,"Job Security, Work Life Balance",Promotions / Appraisal
Ryan,4.4,377,Accounting & Auditing,Hyderabad / Secunderabad +4 other locations,"Job Security, Company Culture, Work Life Balance",None
Addverb Technologies,3.9,377,Industrial Automation,Noida +18 other locations,"Salary & Benefits, Skill Development / Learning, Company Culture",None
Bada Business,3.6,376,Internet,New Delhi +52 other locations,None,"Job Security, Promotions / Appraisal, Work Satisfaction"
JoulestoWatts Business Solutions,2.9,376,IT Services & Consulting,Bangalore / Bengaluru +14 other locations,None,"Job Security, Promotions / Appraisal, Company Culture"
Capital Foods,4.0,376,Food Processing,Mumbai +70 other locations,"Salary & Benefits, Work Life Balance",Promotions / Appraisal
Mahanagar Gas,4.3,375,Oil & Gas,Mumbai +22 other locations,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
SNS College of Technology,4.9,375,Education & Training,Coimbatore +3 other locations,"Company Culture, Skill Development / Learning, Work Satisfaction",None
Markets and Markets,3.3,375,Analytics & KPO,Pune +11 other locations,None,"Skill Development / Learning, Promotions / Appraisal, Work Satisfaction"
Myk Laticrete,4.1,375,Building Material,Hyderabad / Secunderabad +62 other locations,"Job Security, Salary & Benefits, Work Life Balance",None
Corporate Infotech,3.8,375,IT Services & Consulting,New Delhi +41 other locations,None,Promotions / Appraisal
Polestar Solutions & Services India,4.3,375,IT Services & Consulting,Noida +8 other locations,"Skill Development / Learning, Company Culture, Job Security",None
Pierian Services,4.0,375,Management Consulting,Bangalore / Bengaluru +16 other locations,"Job Security, Work Life Balance, Skill Development / Learning",None
Scientific Publishing Services,3.9,374,Analytics & KPO,Chennai +7 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits"
Aker Solutions,4.0,374,Engineering & Construction,Pune +7 other locations,"Work Life Balance, Company Culture",Promotions / Appraisal
BCG,3.8,374,Management Consulting,Gurgaon / Gurugram +8 other locations,"Salary & Benefits, Skill Development / Learning","Work Life Balance, Promotions / Appraisal"
Mindsprint,3.9,374,IT Services & Consulting,Chennai +6 other locations,"Job Security, Skill Development / Learning, Salary & Benefits",Promotions / Appraisal
Metalman Auto,4.1,374,Auto Components,Aurangabad +18 other locations,"Job Security, Skill Development / Learning, Company Culture",None
BDR Pharmaceuticals International,4.2,375,N/A,Vadodara +17 other locations,"Job Security, Company Culture, Skill Development / Learning",None
Franchise India Brands,2.1,374,Marketing & Advertising,New Delhi +25 other locations,None,"Job Security, Company Culture, Work Satisfaction"
Maxop Engineering Co.,4.1,374,Auto Components,Gurgaon / Gurugram +10 other locations,"Salary & Benefits, Skill Development / Learning, Promotions / Appraisal",None
Star Bazaar,4.1,373,Retail,Mumbai +37 other locations,"Company Culture, Job Security, Work Life Balance",Promotions / Appraisal
QSpiders,3.6,374,Education & Training,Bangalore / Bengaluru +21 other locations,None,"Promotions / Appraisal, Job Security, Salary & Benefits"
Kaya Skin Clinic,3.9,373,Beauty & Personal Care,Mumbai +36 other locations,"Skill Development / Learning, Job Security",Promotions / Appraisal
Par Pharmaceutical Companies,4.3,373,Pharma,Chennai +8 other locations,"Salary & Benefits, Work Life Balance, Company Culture",None
Online Legal India,4.7,372,Legal,Kolkata +6 other locations,"Skill Development / Learning, Work Life Balance, Company Culture",None
MagicPin,3.1,372,Internet,Gurgaon / Gurugram +17 other locations,None,"Job Security, Work Life Balance, Work Satisfaction"
Fynd,3.5,372,Software Product,Mumbai +10 other locations,Salary & Benefits,"Job Security, Work Life Balance, Company Culture"
Aptech,3.6,373,Education & Training,Mumbai +69 other locations,None,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits"
Honeywell International India,3.9,372,Defence & Aerospace,Pune +22 other locations,"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal
Muthoottu Mini Financiers,3.8,372,NBFC,Hyderabad / Secunderabad +80 other locations,None,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Dimension Data,4.3,371,IT Services & Consulting,Bangalore / Bengaluru +52 other locations,"Work Life Balance, Skill Development / Learning, Company Culture",None
CWT,4.0,371,Travel & Tourism,New Delhi +13 other locations,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
Chemplast Sanmar,3.6,372,Chemicals,Salem +17 other locations,Job Security,"Company Culture, Promotions / Appraisal, Salary & Benefits"
Alpla,4.0,371,Packaging,Hyderabad / Secunderabad +21 other locations,"Job Security, Skill Development / Learning, Company Culture",None
Bridgestone India Automotive Products,4.2,371,Auto Components,Gurgaon / Gurugram +42 other locations,"Job Security, Company Culture, Work Life Balance",None
Harman Finochem,3.5,371,Pharma,Aurangabad +10 other locations,None,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Usha Martin,4.2,370,Iron & Steel,Ranchi +26 other locations,"Job Security, Work Life Balance, Skill Development / Learning",None
Country Holidays Travel India,4.3,370,Travel & Tourism,Noida +13 other locations,"Work Life Balance, Company Culture, Work Satisfaction",None
SPAR Hypermarkets,4.2,370,Retail,Bangalore / Bengaluru +28 other locations,"Job Security, Company Culture, Work Life Balance",None
Flamingo Pharmaceuticals,3.3,369,Pharma,Mumbai +11 other locations,None,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Morepen Laboratories,3.9,369,Pharma,New Delhi +38 other locations,Job Security,Promotions / Appraisal
SOLAR INDUSTRIES INDIA,3.7,370,Defence & Aerospace,Nagpur +35 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Safari Industries India,4.1,369,Fashion & Textile,Mumbai +62 other locations,"Job Security, Company Culture, Work Life Balance",None
Wow Momo Foods,3.6,369,FMCG,Kolkata +39 other locations,None,"Promotions / Appraisal, Company Culture, Work Satisfaction"
Wabtec,4.0,368,Auto Components,Bangalore / Bengaluru +22 other locations,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
Mikuni,4.2,368,Auto Components,Neemrana +16 other locations,"Job Security, Work Life Balance, Company Culture",None
CommScope,3.8,368,Telecom,Bangalore / Bengaluru +17 other locations,Work Life Balance,Promotions / Appraisal
Nash Industries,3.6,368,Industrial Machinery,Bangalore / Bengaluru +14 other locations,None,"Promotions / Appraisal, Company Culture, Salary & Benefits"
Sanmina Sci,4.1,369,Electronics Manufacturing,Chennai +11 other locations,"Work Satisfaction, Skill Development / Learning, Job Security",Promotions / Appraisal
5paisa Capital Ltd.,3.9,368,Financial Services,Mumbai +9 other locations,"Company Culture, Salary & Benefits, Skill Development / Learning",None
Hexagon Nutrition,3.9,367,Food Processing,Mumbai +29 other locations,"Work Life Balance, Skill Development / Learning",None
Tejas Networks,4.1,367,Hardware & Networking,Bangalore / Bengaluru +24 other locations,"Job Security, Skill Development / Learning, Work Life Balance",None
Teradata,3.9,367,Software Product,Pune +8 other locations,"Work Life Balance, Company Culture, Salary & Benefits","Promotions / Appraisal, Job Security, Skill Development / Learning"
Utkarsh Classes,4.5,367,EdTech,Jodhpur +8 other locations,"Company Culture, Skill Development / Learning, Work Satisfaction",None
Unity Small Finance Bank,3.9,368,Banking,Mumbai +66 other locations,"Work Life Balance, Company Culture, Job Security",None
Ugro Capital,3.7,368,NBFC,Mumbai +86 other locations,Salary & Benefits,"Job Security, Work Satisfaction, Promotions / Appraisal"
Mars International India,4.2,367,Food Processing,Hyderabad / Secunderabad +69 other locations,"Company Culture, Salary & Benefits, Skill Development / Learning",None
Self Practice,4.4,367,Analytics & KPO,New Delhi +105 other locations,"Skill Development / Learning, Work Satisfaction, Work Life Balance",None
Akamai Technologies,4.4,367,Software Product,Bangalore / Bengaluru +4 other locations,"Work Life Balance, Company Culture, Salary & Benefits",None
Ingersoll Rand,4.2,366,Industrial Machinery,Bangalore / Bengaluru +29 other locations,"Work Life Balance, Company Culture, Work Satisfaction",None
Invesco,3.9,366,Financial Services,Hyderabad / Secunderabad +7 other locations,"Work Life Balance, Company Culture",Promotions / Appraisal
Mobikwik,4.0,366,FinTech,Gurgaon / Gurugram +30 other locations,"Work Life Balance, Salary & Benefits, Job Security",None
Alankit,3.4,366,Financial Services,New Delhi +37 other locations,None,"Promotions / Appraisal, Salary & Benefits, Job Security"
SABIC,4.3,366,Chemicals,Bangalore / Bengaluru +18 other locations,"Work Life Balance, Company Culture, Job Security",None
ABCI Infrastructures,3.5,366,Engineering & Construction,Kolkata +49 other locations,None,"Promotions / Appraisal, Job Security, Salary & Benefits"
Glaze Trading India,3.9,365,Retail,New Delhi +82 other locations,"Company Culture, Skill Development / Learning",None
NMDC Limited,4.3,365,Metals & Mining,Jagdalpur +28 other locations,"Work Life Balance, Skill Development / Learning, Work Satisfaction",None
B. Braun Medical,4.0,365,Healthcare,Mumbai +46 other locations,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
Brigade Group,4.2,366,Real Estate,Bangalore / Bengaluru +10 other locations,"Job Security, Skill Development / Learning, Company Culture",None
Venky's,3.8,365,FMCG,Pune +62 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
Titan Engineering & Automation,4.0,365,Industrial Automation,Hosur +13 other locations,"Job Security, Skill Development / Learning, Company Culture","Promotions / Appraisal, Work Life Balance"
Magma HDI General Insurance,3.8,365,Insurance,Mumbai +80 other locations,None,Promotions / Appraisal
Laxmi Organic Industries,4.1,366,Chemicals,Mahad +14 other locations,"Job Security, Skill Development / Learning, Company Culture",None
Pearson Education India,4.1,364,Education & Training,Bangalore / Bengaluru +55 other locations,"Work Life Balance, Company Culture, Work Satisfaction",Promotions / Appraisal
Bharat Bijlee,4.3,365,Electrical Equipment,Mumbai +18 other locations,"Job Security, Work Life Balance, Company Culture",None
Udaan India - The Original Visa Company,4.2,364,N/A,Bangalore / Bengaluru +78 other locations,"Skill Development / Learning, Salary & Benefits, Work Satisfaction",Job Security
Bajaj Consumer Care,4.0,365,FMCG,Mumbai +85 other locations,"Salary & Benefits, Work Life Balance, Company Culture",Promotions / Appraisal
British Petroleum,3.7,364,Oil & Gas,Pune +10 other locations,"Work Life Balance, Salary & Benefits",Promotions / Appraisal
ARMSOFTECH.AIR,3.4,363,IT Services & Consulting,Chennai +13 other locations,None,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Bhilosa Industries,3.8,364,Fashion & Textile,Silvassa / Dadra & Nagar Haveli +11 other locations,Skill Development / Learning,"Promotions / Appraisal, Salary & Benefits"
LendingKart,3.2,363,NBFC,Ahmedabad +36 other locations,None,"Job Security, Promotions / Appraisal, Work Satisfaction"
Jumbotail Technologies,3.6,363,Retail,Bangalore / Bengaluru +28 other locations,None,"Promotions / Appraisal, Job Security, Work Life Balance"
Expertrons,3.9,362,Education & Training,Mumbai +7 other locations,"Skill Development / Learning, Company Culture, Salary & Benefits",None
Lido Learning,2.3,362,EdTech,Mumbai +17 other locations,None,"Job Security, Company Culture, Work Satisfaction"
Communications Test Design,3.7,362,IT Services & Consulting,Bangalore / Bengaluru +41 other locations,None,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Western Refrigeration,3.9,362,Industrial Machinery,Vapi +34 other locations,"Job Security, Salary & Benefits",None
Visaka Industries,4.0,363,Building Material,Hyderabad / Secunderabad +52 other locations,"Job Security, Work Life Balance",None
Vcare Trichology,3.7,362,Healthcare,Chennai +51 other locations,None,"Promotions / Appraisal, Company Culture"
Thought Focus,3.5,362,IT Services & Consulting,Bangalore / Bengaluru +8 other locations,None,"Promotions / Appraisal, Skill Development / Learning, Company Culture"
Motherson Sumi Wiring,3.8,362,Electrical Equipment,Noida +31 other locations,Job Security,"Work Satisfaction, Company Culture"
Sheela Foam,4.1,362,Furniture & Furnishing,Noida +75 other locations,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
Schoolnet India,3.9,362,EdTech,Mumbai +84 other locations,"Skill Development / Learning, Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
Northcorp Software,4.4,363,IT Services & Consulting,Gurgaon / Gurugram +6 other locations,"Skill Development / Learning, Work Life Balance, Work Satisfaction",None
JUSTO Realfintech,4.5,361,Real Estate,Pune +10 other locations,"Company Culture, Skill Development / Learning, Work Satisfaction",None
Indian Bank,3.3,361,Banking,Chennai +83 other locations,Job Security,"Work Life Balance, Company Culture, Work Satisfaction"
JBS Enterprises,3.2,361,Electronics Manufacturing,Mumbai +63 other locations,None,"Salary & Benefits, Promotions / Appraisal, Company Culture"
Mrs Bector's Food Specialities,4.0,361,FMCG,Greater Noida +63 other locations,None,Promotions / Appraisal
RPG Life Sciences,4.1,360,Pharma,Mumbai +37 other locations,"Job Security, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
ServiceNow,4.2,360,Software Product,Hyderabad / Secunderabad +9 other locations,"Company Culture, Salary & Benefits, Job Security",None
Grindwell Norton,4.1,360,Industrial Machinery,Bangalore / Bengaluru +37 other locations,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
Medica Superspecialty Hospital,3.6,360,Healthcare,Kolkata +17 other locations,None,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits"
Insolutions Global,3.7,360,FinTech,Mumbai +20 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Havmor Ice Cream,4.3,360,Food Processing,Ahmedabad +59 other locations,"Work Life Balance, Job Security, Work Satisfaction",None
Matrix Business Services,3.5,361,Analytics & KPO,Chennai +22 other locations,None,"Promotions / Appraisal, Salary & Benefits, Work Life Balance"
African Industries,4.1,361,Metals & Mining,Lagos +16 other locations,"Job Security, Salary & Benefits, Work Life Balance",None
Kirloskar Ferrous Industries,4.0,360,Iron & Steel,Koppal +17 other locations,"Job Security, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
Moser Baer,4.2,359,Consumer Electronics & Appliances,Noida +12 other locations,"Skill Development / Learning, Company Culture, Work Life Balance",None
TTK Healthcare,4.2,359,Healthcare,Chennai +74 other locations,"Work Life Balance, Job Security, Company Culture",None
St. Xavier's High School,4.0,359,Education & Training,Gurgaon / Gurugram +107 other locations,"Skill Development / Learning, Company Culture",None
Yardi Systems,3.8,359,Software Product,Pune +2 other locations,"Job Security, Work Life Balance","Promotions / Appraisal, Skill Development / Learning, Work Satisfaction"
Acadecraft,3.6,359,EdTech,Noida +9 other locations,None,"Job Security, Promotions / Appraisal, Salary & Benefits"
HBL Global,3.9,358,NBFC,New Delhi +78 other locations,"Skill Development / Learning, Job Security, Company Culture",None
Penna Cement Industries,4.2,358,Building Material,Hyderabad / Secunderabad +45 other locations,"Job Security, Work Life Balance, Work Satisfaction",None
Innovaccer,3.5,358,Software Product,Noida +6 other locations,None,"Job Security, Promotions / Appraisal, Work Satisfaction"
Paharpur Cooling Towers,4.1,358,Industrial Machinery,Kolkata +46 other locations,"Job Security, Salary & Benefits, Work Life Balance",Promotions / Appraisal
Ppap Automotive,3.9,358,Auto Components,Noida +14 other locations,Skill Development / Learning,Promotions / Appraisal
Essar Group,3.8,357,Engineering & Construction,Mumbai +45 other locations,None,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Allegis Group,3.7,357,Recruitment,Bangalore / Bengaluru +13 other locations,None,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
NR Switch N Radio Services,3.8,357,Telecom,Kota +65 other locations,None,"Promotions / Appraisal, Job Security, Skill Development / Learning"
SMEC,3.8,357,Real Estate,Bangalore / Bengaluru +60 other locations,None,"Job Security, Promotions / Appraisal, Skill Development / Learning"
Spectrum Talent Management,3.6,357,Recruitment,Noida +60 other locations,None,"Promotions / Appraisal, Job Security, Salary & Benefits"
CMR Green Technologies,3.8,357,Metals & Mining,Faridabad +27 other locations,Skill Development / Learning,None
Sanghi Industries,3.7,356,Building Material,Ahmedabad +23 other locations,None,"Promotions / Appraisal, Salary & Benefits, Company Culture"
BYJU'S Exam Prep,3.8,356,EdTech,Noida +26 other locations,"Company Culture, Work Life Balance",Job Security
Jindal Aluminium,3.9,356,Metals & Mining,Bangalore / Bengaluru +15 other locations,Salary & Benefits,None
SunTec Web Services,3.3,356,IT Services & Consulting,New Delhi +6 other locations,None,"Promotions / Appraisal, Salary & Benefits, Job Security"
ArcelorMittal,4.1,356,Iron & Steel,Surat +40 other locations,"Job Security, Work Life Balance, Skill Development / Learning",None
Gulf Oil Lubricants,4.1,356,Chemicals / Agri Inputs,Mumbai +69 other locations,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
ArisGlobal,2.8,356,IT Services & Consulting,Bangalore / Bengaluru +6 other locations,None,"Job Security, Promotions / Appraisal, Work Satisfaction"
Kataria Automobiles,3.8,356,Automobile,Ahmedabad +22 other locations,None,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits"
Supertech,3.9,355,Real Estate,Noida +18 other locations,Work Life Balance,Promotions / Appraisal
Nowfloats Technologies,3.2,355,Software Product,Hyderabad / Secunderabad +40 other locations,None,"Promotions / Appraisal, Job Security, Work Satisfaction"
Eurokids,4.1,355,Education & Training,Mumbai +66 other locations,"Skill Development / Learning, Company Culture, Work Life Balance",Salary & Benefits
National Bulk Handling Corporation,3.9,355,Agriculture,Mumbai +70 other locations,None,Promotions / Appraisal
Toyota,4.4,355,Automobile,Bangalore / Bengaluru +95 other locations,"Company Culture, Work Life Balance, Skill Development / Learning",None
Expleo Group,3.5,355,IT Services & Consulting,Pune +6 other locations,None,"Promotions / Appraisal, Salary & Benefits, Job Security"
Techwave Consulting,3.7,355,IT Services & Consulting,Hyderabad / Secunderabad +4 other locations,None,"Promotions / Appraisal, Salary & Benefits"
Dana India,4.1,356,Auto Components,Pune +22 other locations,"Company Culture, Skill Development / Learning, Job Security",None
Kellton,2.9,355,IT Services & Consulting,Gurgaon / Gurugram +16 other locations,None,"Promotions / Appraisal, Job Security, Salary & Benefits"
Infosys Consulting,3.4,354,IT Services & Consulting,Bangalore / Bengaluru +26 other locations,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Johnson Matthey,4.0,354,N/A,Gurgaon / Gurugram +17 other locations,"Work Life Balance, Company Culture, Salary & Benefits",Promotions / Appraisal
R.V.R. PROJECTS,4.0,356,Engineering & Construction,Visakhapatnam +42 other locations,Salary & Benefits,None
BharatPe,3.5,354,FinTech,New Delhi +65 other locations,None,"Promotions / Appraisal, Job Security, Company Culture"
Kalyani Technoforge,3.8,354,Auto Components,Pune +13 other locations,None,Promotions / Appraisal
Hamdard,4.1,354,Food Processing,New Delhi +62 other locations,"Work Life Balance, Job Security, Salary & Benefits",Promotions / Appraisal
FabHotels,3.0,354,Hospitality,Gurgaon / Gurugram +31 other locations,None,"Job Security, Company Culture, Promotions / Appraisal"
Jockey,4.4,354,Fashion & Textile,Bangalore / Bengaluru +110 other locations,"Skill Development / Learning, Work Life Balance, Company Culture",None
ABIS Exports,3.9,354,Food Processing,Rajnandgaon +75 other locations,Skill Development / Learning,Promotions / Appraisal
Oda Class,3.5,354,EdTech,Bangalore / Bengaluru +7 other locations,None,"Job Security, Work Life Balance, Promotions / Appraisal"
My Home Constructions,4.4,353,Real Estate,Hyderabad / Secunderabad +13 other locations,"Job Security, Work Life Balance, Company Culture",None
ICFAI University,3.7,353,Education & Training,Hyderabad / Secunderabad +55 other locations,None,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction"
Harjai Computers,3.8,353,Recruitment,Mumbai +11 other locations,Work Life Balance,None
Harjai Computers,3.8,353,Recruitment,Mumbai +11 other locations,Work Life Balance,None
ICFAI University,3.7,353,Education & Training,Hyderabad / Secunderabad +55 other locations,None,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction"
Cosmo Films,3.7,353,Packaging,Aurangabad +9 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits"
ABIS Exports,3.9,354,Food Processing,Rajnandgaon +75 other locations,Skill Development / Learning,Promotions / Appraisal
DesignTech Systems,3.4,353,IT Services & Consulting,Pune +32 other locations,None,"Promotions / Appraisal, Company Culture, Salary & Benefits"
FiveS Digital,3.3,353,BPO,Udaipur +18 other locations,None,"Promotions / Appraisal, Salary & Benefits, Job Security"
